"REF_DATE","GEO","DGUID","Area of residence","Type of expenditures","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Canada","2016A000011124","South Korea","Total expenditures","Dollars","81","thousands","3","v1139468263","1.11.1","55377","B","","","0"
"2018-01","Canada","2016A000011124","South Korea","Accommodation","Dollars","81","thousands","3","v1139468588","1.11.2","18615","B","","","0"
"2018-01","Canada","2016A000011124","South Korea","Clothes and gifts","Dollars","81","thousands","3","v1139468913","1.11.3","9234","B","","","0"
"2018-01","Canada","2016A000011124","South Korea","Food and beverage","Dollars","81","thousands","3","v1139469238","1.11.4","11971","C","","","0"
"2018-01","Canada","2016A000011124","South Korea","Recreation and entertainment","Dollars","81","thousands","3","v1139469563","1.11.5","6785","C","","","0"
"2018-01","Canada","2016A000011124","South Korea","Transportation","Dollars","81","thousands","3","v1139469888","1.11.6","6756","B","","","0"
"2018-01","Canada","2016A000011124","South Korea","Other types of expenditures","Dollars","81","thousands","3","v1139470213","1.11.7","2016","B","","","0"
"2018-01","Canada","2016A000011124","Japan","Total expenditures","Dollars","81","thousands","3","v1139468288","1.12.1","70908","A","","","0"
"2018-01","Canada","2016A000011124","Japan","Accommodation","Dollars","81","thousands","3","v1139468613","1.12.2","27037","B","","","0"
"2018-01","Canada","2016A000011124","Japan","Clothes and gifts","Dollars","81","thousands","3","v1139468938","1.12.3","10808","B","","","0"
"2018-01","Canada","2016A000011124","Japan","Food and beverage","Dollars","81","thousands","3","v1139469263","1.12.4","13948","B","","","0"
"2018-01","Canada","2016A000011124","Japan","Recreation and entertainment","Dollars","81","thousands","3","v1139469588","1.12.5","8693","C","","","0"
"2018-01","Canada","2016A000011124","Japan","Transportation","Dollars","81","thousands","3","v1139469913","1.12.6","8189","B","","","0"
"2018-01","Canada","2016A000011124","Japan","Other types of expenditures","Dollars","81","thousands","3","v1139470238","1.12.7","2233","B","","","0"
"2018-01","Canada","2016A000011124","Other countries","Total expenditures","Dollars","81","thousands","3","v1139468313","1.13.1","504657","A","","","0"
"2018-01","Canada","2016A000011124","Other countries","Accommodation","Dollars","81","thousands","3","v1139468638","1.13.2","147227","B","","","0"
"2018-01","Canada","2016A000011124","Other countries","Clothes and gifts","Dollars","81","thousands","3","v1139468963","1.13.3","113089","B","","","0"
"2018-01","Canada","2016A000011124","Other countries","Food and beverage","Dollars","81","thousands","3","v1139469288","1.13.4","125867","B","","","0"
"2018-01","Canada","2016A000011124","Other countries","Recreation and entertainment","Dollars","81","thousands","3","v1139469613","1.13.5","49786","B","","","0"
"2018-01","Canada","2016A000011124","Other countries","Transportation","Dollars","81","thousands","3","v1139469938","1.13.6","58180","B","","","0"
"2018-01","Canada","2016A000011124","Other countries","Other types of expenditures","Dollars","81","thousands","3","v1139470263","1.13.7","10508","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Total, area of residence","Total expenditures","Dollars","81","thousands","3","v1139468014","2.1.1","17170","B","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Total, area of residence","Accommodation","Dollars","81","thousands","3","v1139468339","2.1.2","6362","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Total, area of residence","Clothes and gifts","Dollars","81","thousands","3","v1139468664","2.1.3","2027","B","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Total, area of residence","Food and beverage","Dollars","81","thousands","3","v1139468989","2.1.4","3357","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Total, area of residence","Recreation and entertainment","Dollars","81","thousands","3","v1139469314","2.1.5","1578","B","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Total, area of residence","Transportation","Dollars","81","thousands","3","v1139469639","2.1.6","3019","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Total, area of residence","Other types of expenditures","Dollars","81","thousands","3","v1139469964","2.1.7","827","B","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","United States residents","Total expenditures","Dollars","81","thousands","3","v1139468039","2.2.1","4268","E","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","United States residents","Accommodation","Dollars","81","thousands","3","v1139468364","2.2.2","1728","E","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","United States residents","Clothes and gifts","Dollars","81","thousands","3","v1139468689","2.2.3","299","D","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","United States residents","Food and beverage","Dollars","81","thousands","3","v1139469014","2.2.4","932","E","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","United States residents","Recreation and entertainment","Dollars","81","thousands","3","v1139469339","2.2.5","219","E","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","United States residents","Transportation","Dollars","81","thousands","3","v1139469664","2.2.6","983","E","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","United States residents","Other types of expenditures","Dollars","81","thousands","3","v1139469989","2.2.7","108","D","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Overseas residents","Total expenditures","Dollars","81","thousands","3","v1139468064","2.3.1","12902","B","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Overseas residents","Accommodation","Dollars","81","thousands","3","v1139468389","2.3.2","4635","B","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Overseas residents","Clothes and gifts","Dollars","81","thousands","3","v1139468714","2.3.3","1728","B","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Overseas residents","Food and beverage","Dollars","81","thousands","3","v1139469039","2.3.4","2425","B","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Overseas residents","Recreation and entertainment","Dollars","81","thousands","3","v1139469364","2.3.5","1359","B","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Overseas residents","Transportation","Dollars","81","thousands","3","v1139469689","2.3.6","2036","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Overseas residents","Other types of expenditures","Dollars","81","thousands","3","v1139470014","2.3.7","720","B","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","United Kingdom","Total expenditures","Dollars","81","thousands","3","v1139468089","2.4.1","1744","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","United Kingdom","Accommodation","Dollars","81","thousands","3","v1139468414","2.4.2","680","E","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","United Kingdom","Clothes and gifts","Dollars","81","thousands","3","v1139468739","2.4.3","206","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","United Kingdom","Food and beverage","Dollars","81","thousands","3","v1139469064","2.4.4","353","D","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","United Kingdom","Recreation and entertainment","Dollars","81","thousands","3","v1139469389","2.4.5","150","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","United Kingdom","Transportation","Dollars","81","thousands","3","v1139469714","2.4.6","283","E","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","United Kingdom","Other types of expenditures","Dollars","81","thousands","3","v1139470039","2.4.7","72","D","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","China","Total expenditures","Dollars","81","thousands","3","v1139468114","2.5.1","1124","B","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","China","Accommodation","Dollars","81","thousands","3","v1139468439","2.5.2","346","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","China","Clothes and gifts","Dollars","81","thousands","3","v1139468764","2.5.3","240","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","China","Food and beverage","Dollars","81","thousands","3","v1139469089","2.5.4","204","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","China","Recreation and entertainment","Dollars","81","thousands","3","v1139469414","2.5.5","131","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","China","Transportation","Dollars","81","thousands","3","v1139469739","2.5.6","134","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","China","Other types of expenditures","Dollars","81","thousands","3","v1139470064","2.5.7","70","D","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","France","Total expenditures","Dollars","81","thousands","3","v1139468139","2.6.1","1804","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","France","Accommodation","Dollars","81","thousands","3","v1139468464","2.6.2","532","D","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","France","Clothes and gifts","Dollars","81","thousands","3","v1139468789","2.6.3","337","D","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","France","Food and beverage","Dollars","81","thousands","3","v1139469114","2.6.4","297","E","","","0"
